GWO,PSO,WOA,FPSOGWO,
4.11E-140,4.03E-60,8.38E-165,1.05E-295,
4.11E-140,8.48E-53,8.38E-165,1.05E-295,
4.11E-140,3.25E-59,8.38E-165,1.05E-295,
3.13E-140,5.57E-26,8.38E-165,1.05E-295,
3.13E-140,1.17E-24,8.38E-165,1.05E-295,
4.11E-140,1.14E-58,8.38E-165,1.05E-295,
4.11E-140,2.00E-27,8.38E-165,1.05E-295,
4.11E-140,1.92E-15,8.38E-165,1.05E-295,
4.11E-140,1.58E-49,8.38E-165,1.05E-295,
4.11E-140,1.47E-34,8.38E-165,1.05E-295,
4.11E-140,5.57E-26,8.38E-165,1.05E-295,
4.11E-140,1.73E-25,8.38E-165,1.05E-295,
4.11E-140,8.33E-31,8.38E-165,1.05E-295,
4.11E-140,1.01E-25,8.38E-165,1.05E-295,
4.11E-140,2.59E-26,8.38E-165,1.05E-295,
4.11E-140,1.17E-24,8.38E-165,1.05E-295,
4.11E-140,1.38E-34,8.38E-165,1.05E-295,
4.11E-140,2.67E-30,8.38E-165,1.05E-295,
4.11E-140,2.69E-27,8.38E-165,1.05E-295,
4.11E-140,2.00E-27,8.38E-165,1.05E-295,
4.11E-140,1.75E-24,8.38E-165,1.05E-295,
4.11E-140,9.13E-29,8.38E-165,1.05E-295,
2.54E-137,1.12E-25,3.69E-164,4.04E-300,
2.54E-137,1.03E-27,3.69E-164,4.04E-300,
2.54E-137,4.42E-36,3.69E-164,4.04E-300,
2.54E-137,3.53E-29,3.69E-164,4.04E-300,
2.54E-137,7.42E-27,3.69E-164,4.04E-300,
2.54E-137,2.91E-44,3.69E-164,4.04E-300,
2.54E-137,1.02E-23,3.69E-164,4.04E-300,
2.54E-137,1.45E-34,3.69E-164,4.04E-300,
6.81E-138,2.00E-27,1.60E-164,7.72E-296,(30次均值）
1.1223E-137,3.44156E-16,0,0,（30次均方差）
